group_family,Nc,Nt,Ns,nF,nAS,nS,nADJ,name,beta,mass,Ls,alpha,a5,M5,mpv,therm,delta_traj,mres_p_start,mres_p_end
Sp,4,32,16,2,0,0,0,B3M1S15,7.6,0.06,8,1.5,1.4,1.8,1,150,5,8,14
Sp,4,32,16,2,0,0,0,B3M1S16,7.6,0.06,8,1.5,1,1.4,1,150,5,16,24
Sp,4,32,16,2,0,0,0,B3M1S17,7.6,0.06,8,1.5,1,1.5,1,150,5,16,21
Sp,4,32,16,2,0,0,0,B3M1S18,7.6,0.06,8,1.5,1,1.6,1,150,5,8,15
Sp,4,32,16,2,0,0,0,B3M1S19,7.6,0.06,8,1.5,1,1.7,1,150,5,17,23
Sp,4,32,16,2,0,0,0,B3M1S20,7.6,0.06,8,1.5,1,1.75,1,150,5,15,20
Sp,4,32,16,2,0,0,0,B3M1S21,7.6,0.06,8,1.5,1,1.85,1,150,5,9,14
Sp,4,32,16,2,0,0,0,B3M1S22,7.6,0.06,8,1.5,1,1.9,1,150,5,16,20
Sp,4,32,16,2,0,0,0,B3M1S23,7.6,0.06,8,1.5,1,1.8,0.3,150,5,15,24
Sp,4,32,16,2,0,0,0,B3M1S24,7.6,0.06,8,1.5,1,1.8,0.7,150,5,9,15
Sp,4,32,16,2,0,0,0,B3M1S25,7.6,0.06,8,1.5,1,1.8,0.9,150,5,15,23
Sp,4,32,16,2,0,0,0,B3M1S26,7.6,0.06,8,1.5,1,1.8,1.1,150,5,9,15
Sp,4,32,16,2,0,0,0,B3M1S27,7.6,0.06,8,1.5,1,1.8,1.3,150,5,15,23
Sp,4,32,16,2,0,0,0,B3M1S28,7.6,0.06,8,1.5,1,1.8,1.6,150,5,9,16
Sp,4,32,16,2,0,0,0,B3M2S1,7.6,0.02,8,1,1,1.8,1,150,5,11,22
Sp,4,32,16,2,0,0,0,B3M2S2,7.6,0.02,8,1.25,1,1.8,1,150,5,8,15
Sp,4,32,16,2,0,0,0,B3M2S3,7.6,0.02,8,1.5,1,1.8,1,150,5,8,24
Sp,4,32,16,2,0,0,0,B3M2S4,7.6,0.02,8,1.75,1,1.8,1,150,5,9,19
Sp,4,32,16,2,0,0,0,B3M2S5,7.6,0.02,8,2,1,1.8,1,150,5,13,21
Sp,4,32,16,2,0,0,0,B3M2S6,7.6,0.02,8,2.25,1,1.8,1,150,5,10,20
Sp,4,32,16,2,0,0,0,B3M2S7,7.6,0.02,8,2.5,1,1.8,1,150,5,14,21
Sp,4,32,16,2,0,0,0,B3M2S8,7.6,0.02,8,2.75,1,1.8,1,150,5,11,15
Sp,4,32,16,2,0,0,0,B3M2S9,7.6,0.02,8,1.5,0.2,1.8,1,150,5,11,16
Sp,4,32,16,2,0,0,0,B3M2S10,7.6,0.02,8,1.5,0.5,1.8,1,150,5,15,20
Sp,4,32,16,2,0,0,0,B3M2S11,7.6,0.02,8,1.5,0.7,1.8,1,150,5,15,22
Sp,4,32,16,2,0,0,0,B3M2S12,7.6,0.02,8,1.5,0.9,1.8,1,150,5,14,20
Sp,4,32,16,2,0,0,0,B3M2S13,7.6,0.02,8,1.5,1.1,1.8,1,150,5,11,21
Sp,4,32,16,2,0,0,0,B3M2S14,7.6,0.02,8,1.5,1.2,1.8,1,150,5,10,18
Sp,4,32,16,2,0,0,0,B3M2S15,7.6,0.02,8,1.5,1.4,1.8,1,150,5,8,16
Sp,4,32,16,2,0,0,0,B3M2S16,7.6,0.02,8,1.5,1.0,1.4,1,150,5,14,25
Sp,4,32,16,2,0,0,0,B3M2S17,7.6,0.02,8,1.5,1.0,1.5,1,150,5,6,11
Sp,4,32,16,2,0,0,0,B3M2S18,7.6,0.02,8,1.5,1.0,1.6,1,150,5,11,22
Sp,4,32,16,2,0,0,0,B3M2S19,7.6,0.02,8,1.5,1.0,1.7,1,150,5,7,25
Sp,4,32,16,2,0,0,0,B3M2S20,7.6,0.02,8,1.5,1.0,1.75,1,150,5,7,25
Sp,4,32,16,2,0,0,0,B3M2S21,7.6,0.02,8,1.5,1.0,1.85,1,150,5,10,18
Sp,4,32,16,2,0,0,0,B3M2S22,7.6,0.02,8,1.5,1.0,1.9,1,150,5,10,18
Sp,4,32,16,2,0,0,0,B3M2S23,7.6,0.02,8,1.5,1.0,1.8,0.3,150,5,8,20
Sp,4,32,16,2,0,0,0,B3M2S24,7.6,0.02,8,1.5,1.0,1.8,0.7,150,5,14,21
Sp,4,32,16,2,0,0,0,B3M2S25,7.6,0.02,8,1.5,1.0,1.8,0.9,150,5,9,19
Sp,4,32,16,2,0,0,0,B3M2S26,7.6,0.02,8,1.5,1.0,1.8,1.1,150,5,9,19
Sp,4,32,16,2,0,0,0,B3M2S27,7.6,0.02,8,1.5,1.0,1.8,1.3,150,5,11,19
Sp,4,32,16,2,0,0,0,B3M2S28,7.6,0.02,8,1.5,1.0,1.8,1.6,150,5,12,20
Sp,4,8,8,2,0,0,0,B1M1,7.4,0.1,8,1.75,1.0,1.8,1.0,150,5,,
Sp,4,8,8,2,0,0,0,B1M2,7.4,0.09,8,1.75,1.0,1.8,1.0,150,5,,
Sp,4,8,8,2,0,0,0,B1M3,7.4,0.08,8,1.75,1.0,1.8,1.0,150,5,,
Sp,4,8,8,2,0,0,0,B1M4,7.4,0.07,8,1.75,1.0,1.8,1.0,150,5,,
